id;engagement_number;engagement_date;object_of_expense;notified_credits;credit_committed;credits_available;amount_proposed_commitment;head_daf;financial_controller;general_manager
1;grâce à après que;2025-03-02T02:06:45;regarder adversaire au point que;de manière à ce que ouf alors que;chef de cuisine puis boum;tellement patientèle évacuer;fonctionnaire partager en outre de;au cas où main-d’œuvre;alors;dans la mesure où basculer
2;juriste guide oups;2025-03-01T18:42:27;guide;quand;comment de manière à ce que tant que;que impromptu juger;boucher vivre émérite;badaboum moderne en decà de;moins adorable fade;pour augmenter tenter
3;au cas où être cadre;2025-03-01T23:57:46;rédaction;entrevoir;malgré au lieu de;ranimer rose;agréable vu que;davantage;pff bien que;miaou
4;charitable bang;2025-03-02T06:15:49;étant donné que;svelte équipe;atchoum si;jusqu’à ce que;tôt par;bè conseil municipal;à peine;quand ?
5;pin-pon collègue guetter;2025-03-02T11:25:48;jusqu’à ce que agréable;puisque contre;carrément toc esquisser;commis de cuisine en decà de;partenaire;insipide;insipide;simple de par patientèle
6;suivant;2025-03-02T08:34:47;présidence balayer;mélancolique fonctionnaire;perplexe promouvoir;entièrement clientèle;secours gravir;quoique tard dynamique;au cas où voter renseigner;grâce à grossir ça
7;bzzz;2025-03-01T17:43:07;gai;déclarer avant de;hi ronron;consoler que membre titulaire;magnifique ah interpréter;dring commis de cuisine;de sorte que contre;efficace coac coac
8;équipe de recherche innombrable déployer;2025-03-02T14:23:55;ferme sous couleur de;près;consoler avant de;turquoise pater psitt;proche de brave vroum;areu areu;lunatique;commis du côté de
9;commis aggraver fréquenter;2025-03-02T00:46:24;insolite;dégager responsable;vanter areu areu avant-hier;pschitt sous du moment que;après-demain;camarade loin de;malgré devant à partir de;tellement à la faveur de
10;chef;2025-03-01T19:17:51;dès de façon à ce que;de manière à ce que à l'encontre de mairie;saluer plus décrocher;quasi ouin sur;dessus;brusque;terne de façon que;bzzz couper quand
